scenario,seed,method,chunk,phase,ari,learn_s,us_per_point,clusters
stationary,1,betula DbStream,15,after,0.9081512430409225,0.0011248040027567185,4.499216011026874,6
stationary,1,river DBSTREAM,0,before,0.4216824481885468,0.0017861879969132133,7.144751987652853,11
stationary,1,river DBSTREAM,1,before,0.24252967010346893,0.003196928999386728,12.787715997546911,17
stationary,1,river DBSTREAM,2,before,0.21293663120522902,0.004187841994280461,16.751367977121845,23
stationary,1,river DBSTREAM,3,before,0.18938728047797443,0.0047806170041440055,19.122468016576022,24
stationary,1,river DBSTREAM,4,before,0.1736354646122125,0.005101129005197436,20.404516020789742,25
stationary,1,river DBSTREAM,5,before,0.17402968983425335,0.005292617999657523,21.17047199863009,25
stationary,1,river DBSTREAM,6,before,0.16913489065187057,0.005448031006380916,21.792124025523663,28
stationary,1,river DBSTREAM,7,before,0.14933501905946975,0.005820279999170452,23.28111999668181,28
stationary,1,river DBSTREAM,8,after,0.15312137770499204,0.005835338000906631,23.341352003626525,28
stationary,1,river DBSTREAM,9,after,0.15727268687503176,0.0059254290026728995,23.701716010691598,28
stationary,1,river DBSTREAM,10,after,0.16361829986821147,0.006126927000877913,24.507708003511652,28
stationary,1,river DBSTREAM,11,after,0.14937000103166834,0.00632232399948407,25.28929599793628,28
stationary,1,river DBSTREAM,12,after,0.1547918678293113,0.006591349003429059,26.365396013716236,30
stationary,1,river DBSTREAM,13,after,0.13767426073214603,0.0067980180028826,27.1920720115304,33
stationary,1,river DBSTREAM,14,after,0.12646566630921166,0.006899818996316753,27.599275985267013,33
stationary,1,river DBSTREAM,15,after,0.13766788009560094,0.007032508998236153,28.130035992944613,32
stationary,1,river CluStream,0,before,1.0,0.06416328900377266,256.65315601509064,3
stationary,1,river CluStream,1,before,1.0,0.08937280499958433,357.49121999833733,3
stationary,1,river CluStream,2,before,1.0,0.059243050003715325,236.9722000148613,3
stationary,1,river CluStream,3,before,1.0,0.05773014599981252,230.92058399925008,3
stationary,1,river CluStream,4,before,1.0,0.04252372300106799,170.09489200427197,3
stationary,1,river CluStream,5,before,1.0,0.037314831999538,149.259327998152,3
stationary,1,river CluStream,6,before,1.0,0.030278154998086393,121.11261999234557,3
stationary,1,river CluStream,7,before,1.0,0.040045704001386184,160.18281600554474,3
stationary,1,river CluStream,8,after,1.0,0.048147244000574574,192.5889760022983,3
stationary,1,river CluStream,9,after,1.0,0.059583390000625513,238.33356000250205,3
stationary,1,river CluStream,10,after,1.0,0.04972640099731507,198.90560398926027,3
stationary,1,river CluStream,11,after,1.0,0.04862404999585124,194.49619998340495,3
stationary,1,river CluStream,12,after,1.0,0.03219889499450801,128.79557997803204,3
stationary,1,river CluStream,13,after,1.0,0.03811708900320809,152.46835601283237,3
stationary,1,river CluStream,14,after,1.0,0.04061586700117914,162.46346800471656,3
stationary,1,river CluStream,15,after,1.0,0.045200453998404555,180.80181599361822,3
stationary,2,betula DenStream,0,before,0.6351718839758366,4.391199763631448e-05,0.17564799054525793,4
stationary,2,betula DenStream,1,before,0.6744160544049922,2.5517998437862843e-05,0.10207199375145137,3
stationary,2,betula DenStream,2,before,0.7054104064958545,2.4676999601069838e-05,0.09870799840427935,3
stationary,2,betula DenStream,3,before,0.5694101584443717,2.4767003196757287e-05,0.09906801278702915,3
stationary,2,betula DenStream,4,before,0.5942767841382854,2.4305001716129482e-05,0.09722000686451793,3
stationary,2,betula DenStream,5,before,0.6485420856548353,2.447600127197802e-05,0.09790400508791208,3
stationary,2,betula DenStream,6,before,0.6803513215419242,2.5086999812629074e-05,0.1003479992505163,3
stationary,2,betula DenStream,7,before,0.6188856598764769,2.503700670786202e-05,0.10014802683144808,3
stationary,2,betula DenStream,8,after,0.6211135390457031,2.4545995984226465e-05,0.09818398393690586,3
stationary,2,betula DenStream,9,after,0.7100100414522004,2.4615997972432524e-05,0.0984639918897301,3
stationary,2,betula DenStream,10,after,0.6764641871218655,2.476599911460653e-05,0.09906399645842612,3
stationary,2,betula DenStream,11,after,0.7028810754753998,2.490699989721179e-05,0.09962799958884716,3
stationary,2,betula DenStream,12,after,0.6789523200507595,2.6339999749325216e-05,0.10535999899730086,3
stationary,2,betula DenStream,13,after,0.608291116992229,2.5197005015797913e-05,0.10078802006319165,3
stationary,2,betula DenStream,14,after,0.5745447034975947,2.694100112421438e-05,0.10776400449685752,3
stationary,2,betula DenStream,15,after,0.7278188270339598,2.6620000426191837e-05,0.10648000170476735,4
stationary,2,river DenStream,0,before,0.2704827921557989,0.001103173999581486,4.412695998325944,15
stationary,2,river DenStream,1,before,0.3024107332535241,0.001136084996687714,4.544339986750856,15
stationary,2,river DenStream,2,before,0.2715732517908957,0.0011362760051270016,4.545104020508006,15
stationary,2,river DenStream,3,before,0.27424563469947727,0.0011341819990775548,4.536727996310219,15
stationary,2,river DenStream,4,before,0.267193098826091,0.0011315369993099011,4.526147997239605,15
stationary,2,river DenStream,5,before,0.25644021002048745,0.0011330999986967072,4.532399994786829,15
stationary,2,river DenStream,6,before,0.2861285427523318,0.0011198649954167195,4.479459981666878,15
stationary,2,river DenStream,7,before,0.27939354773140107,0.0011306050000712276,4.52242000028491,15
stationary,2,river DenStream,8,after,0.26136140050444867,0.0011301050035399385,4.520420014159754,15
stationary,2,river DenStream,9,after,0.27720092728077256,0.001172192998637911,4.688771994551644,15
stationary,2,river DenStream,10,after,0.2770797719974654,0.0011223499968764372,4.489399987505749,15
stationary,2,river DenStream,11,after,0.2693549413819574,0.0011397319976822473,4.558927990728989,15
stationary,2,river DenStream,12,after,0.27212559216537546,0.0011249449962633662,4.499779985053465,15
stationary,2,river DenStream,13,after,0.2643773462094817,0.001128721996792592,4.514887987170368,15
stationary,2,river DenStream,14,after,0.2554770755315545,0.0011280010003247298,4.512004001298919,15
stationary,2,river DenStream,15,after,0.2572537122394357,0.0010792989996843971,4.3171959987375885,15
stationary,2,betula DbStream,0,before,0.7425939725102012,7.289700442925096e-05,0.2915880177170038,7
stationary,2,betula DbStream,1,before,0.9062863345065828,9.895600669551641e-05,0.39582402678206563,4
stationary,2,betula DbStream,2,before,0.8788029136161816,0.00013832000695401803,0.5532800278160721,6
stationary,2,betula DbStream,3,before,0.8660921190582774,0.00017540900444146246,0.7016360177658498,5
stationary,2,betula DbStream,4,before,0.9108689146813436,0.00019670999608933926,0.786839984357357,5
stationary,2,betula DbStream,5,before,0.8817327761148821,0.0002290699994773604,0.9162799979094416,6
stationary,2,betula DbStream,6,before,0.90938493049865,0.0002808680001180619,1.1234720004722476,8
stationary,2,betula DbStream,7,before,0.8557910770036656,0.000381678000849206,1.526712003396824,10
