dataset,n,max_leaves,distance,head,seeds,ari,ari_min,ari_max,leaves,compression,max_leaf_weight,mean_sq_radius,time_s
covtype-20k,20000,1000,average,gmm,3,0.08327841733722635,0.08321946908689835,0.09310740903193925,917,21.810250817884405,691.0,3.6042508388229835,0.1260635100043146
covtype-20k,20000,1000,average,ward,3,0.14167390490004805,0.14167390490004805,0.14167390490004805,917,21.810250817884405,691.0,3.6042508388229835,0.07295913100824691
covtype-20k,20000,500,euclidean,kmeans,3,0.0743526499980865,0.07049955023082362,0.07529914746066657,456,43.85964912280702,2323.0,5.158148457828177,0.033803504993557
covtype-20k,20000,500,euclidean,gmm,3,0.08682629219324736,0.08682629219324736,0.10631905755006929,456,43.85964912280702,2323.0,5.158148457828177,0.055437262999475934
covtype-20k,20000,500,euclidean,ward,3,0.14204064924825624,0.14204064924825624,0.14204064924825624,456,43.85964912280702,2323.0,5.158148457828177,0.04839394299779087
covtype-20k,20000,500,manhattan,kmeans,3,0.09037004930150411,0.08246574547899334,0.1129349176623586,494,40.48582995951417,2134.0,5.367979170085593,0.028391040992573835
covtype-20k,20000,500,manhattan,gmm,3,0.07258044650199215,0.07258044650199215,0.07258044650199215,494,40.48582995951417,2134.0,5.367979170085592,0.06920308999542613
covtype-20k,20000,500,manhattan,ward,3,0.14156566362418824,0.14156566362418824,0.14156566362418824,494,40.48582995951417,2134.0,5.367979170085593,0.03896083000290673
covtype-20k,20000,500,ward,kmeans,3,0.08735798568736478,0.07388777267844868,0.09623462484353433,490,40.816326530612244,529.0,2.9343303256181907,0.02888537000399083
covtype-20k,20000,500,ward,gmm,3,0.11590325282299307,0.11590325282299307,0.11590325282299307,490,40.816326530612244,529.0,2.9343303256181907,0.049690951011143625
covtype-20k,20000,500,ward,ward,3,0.14173979442441037,0.14173979442441037,0.14173979442441037,490,40.816326530612244,529.0,2.9343303256181907,0.04280170000856742
covtype-20k,20000,500,average,kmeans,3,0.06008771132318606,0.05640428205189415,0.06904840968320745,479,41.75365344467641,1553.0,4.955479554833265,0.03545399800350424
covtype-20k,20000,500,average,gmm,3,0.12407897067894458,0.08302194030826807,0.12407897067894458,479,41.75365344467641,1553.0,4.955479554833265,0.1001483119907789
covtype-20k,20000,500,average,ward,3,0.1417083385560016,0.1417083385560016,0.1417083385560016,479,41.75365344467641,1553.0,4.955479554833265,0.051820494001731277
covtype-20k,20000,250,euclidean,kmeans,3,0.08397692367728614,0.07154552416745426,0.088720002892778,248,80.64516129032258,3530.0,6.8855262416293455,0.02495972100587096
covtype-20k,20000,250,euclidean,gmm,3,0.09699779678124995,0.02396952676263294,0.10183164271361592,248,80.64516129032258,3530.0,6.885526241629346,0.034914503994514234
covtype-20k,20000,250,euclidean,ward,3,0.14162351780805874,0.14162351780805874,0.14162351780805874,248,80.64516129032258,3530.0,6.8855262416293455,0.0334331390040461
covtype-20k,20000,250,manhattan,kmeans,3,0.08795824354105697,0.08226429501527853,0.10850874641898023,228,87.71929824561404,2873.0,7.01709452330526,0.021238564993836917
covtype-20k,20000,250,manhattan,gmm,3,0.08644842494979177,0.08644842494979177,0.08644842494979177,228,87.71929824561404,2873.0,7.017094523305257,0.03322097999625839
covtype-20k,20000,250,manhattan,ward,3,0.14065993646399264,0.14065993646399264,0.14065993646399264,228,87.71929824561404,2873.0,7.01709452330526,0.028891130990814418
covtype-20k,20000,250,ward,kmeans,3,0.06554997748644528,0.0641812705904864,0.08649440620794227,231,86.58008658008659,1020.0,4.295450741864634,0.022104853007476777
covtype-20k,20000,250,ward,gmm,3,0.07417956225153956,0.03742487384903511,0.08504106237588818,231,86.58008658008659,1020.0,4.295450741864634,0.038490887003717944
covtype-20k,20000,250,ward,ward,3,0.1417083385560016,0.1417083385560016,0.1417083385560016,231,86.58008658008659,1020.0,4.295450741864634,0.030083511999691837
covtype-20k,20000,250,average,kmeans,3,0.08367668491964479,0.07789181636971321,0.08368204035941776,238,84.03361344537815,2474.0,6.390650319425029,0.02831908500229474
covtype-20k,20000,250,average,gmm,3,0.09851357341438657,0.09851357341438657,0.09851357341438657,238,84.03361344537815,2474.0,6.3906503194250295,0.06849652199889533
covtype-20k,20000,250,average,ward,3,0.1413847561143036,0.1413847561143036,0.1413847561143036,238,84.03361344537815,2474.0,6.390650319425029,0.0398692779999692
covtype-20k,20000,100,euclidean,kmeans,3,0.07185815354153134,0.06750718208783248,0.09185725435030968,99,202.02020202020202,5773.0,11.357389475219232,0.018283619996509515
covtype-20k,20000,100,euclidean,gmm,3,0.05256638753635487,0.05256638753635487,0.05256638753635487,99,202.02020202020202,5773.0,11.357389475219245,0.023740318007185124
covtype-20k,20000,100,euclidean,ward,3,0.14298911707108078,0.14298911707108078,0.14298911707108078,99,202.02020202020202,5773.0,11.357389475219232,0.02328961101011373
covtype-20k,20000,100,manhattan,kmeans,3,0.09359194906741518,0.08236862438126415,0.10951151542451955,98,204.08163265306123,6615.0,13.894145110384649,0.015533890997176059
covtype-20k,20000,100,manhattan,gmm,3,0.12561492891547674,0.11908207304705211,0.12561492891547674,98,204.08163265306123,6615.0,13.894145110384658,0.022883728001033887
covtype-20k,20000,100,manhattan,ward,3,0.13829162457651792,0.13829162457651792,0.13829162457651792,98,204.08163265306123,6615.0,13.894145110384649,0.018980168999405578
covtype-20k,20000,100,ward,kmeans,3,0.07367925998244484,0.05903998563590082,0.08395961887693328,90,222.22222222222223,2657.0,7.358767844726733,0.01713404999463819
covtype-20k,20000,100,ward,gmm,3,0.06550181992089463,0.06550181992089463,0.07486610409809073,90,222.22222222222223,2657.0,7.358767844726733,0.023033669000142254
covtype-20k,20000,100,ward,ward,3,0.142163104960764,0.142163104960764,0.142163104960764,90,222.22222222222223,2657.0,7.358767844726733,0.020326359997852705
covtype-20k,20000,100,average,kmeans,3,0.09571266986648727,0.09556773644845147,0.09748915535004656,96,208.33333333333334,7747.0,13.59463134189409,0.0218985459941905
covtype-20k,20000,100,average,gmm,3,0.08761246954837441,0.0868049780470494,0.08761246954837441,96,208.33333333333334,7747.0,13.594631341894098,0.04825881800206844
covtype-20k,20000,100,average,ward,3,0.14920545430800536,0.14920545430800536,0.14920545430800536,96,208.33333333333334,7747.0,13.59463134189409,0.0286669589986559
mnist-10k,10000,10000,euclidean,kmeans,3,0.28998744125138554,0.2709221950995326,0.29011822784576613,10000,1.0,1.0,0.0,2.7650387070025317
